Player,School,Conf,Year,G,XPM,XPA,XP%,FGM,FGA,FG%,Pts
Alex McPherson*,Auburn,SEC,2023,13,40,40,100.0,13,13,100.0,79
Noah Burnette*,North Carolina,ACC,2023,11,43,43,100.0,19,20,95.0,100
John Love*,Virginia Tech,ACC,2023,13,44,44,100.0,22,24,91.7,110
Ryan Fitzgerald*,Florida State,ACC,2023,14,58,58,100.0,19,21,90.5,115
Aidan Birr*,Georgia Tech,ACC,2023,12,37,38,97.4,17,19,89.5,88
Will Reichard*,Alabama,SEC,2023,14,55,55,100.0,22,25,88.0,121
James Turner*,Michigan,Big Ten,2023,15,65,66,98.5,18,21,85.7,119
Will Bettridge,Virginia,ACC,2023,12,31,31,100.0,18,21,85.7,85
Mitch Jeter,South Carolina,SEC,2023,12,33,34,97.1,12,14,85.7,69
Dragan Kesich*,Minnesota,Big Ten,2023,13,27,27,100.0,23,27,85.2,96
Andres Borregales*,Miami (FL),ACC,2023,13,44,45,97.8,22,26,84.6,110
Peyton Woodring*,Georgia,SEC,2023,14,71,71,100.0,21,25,84.0,134
Cam Little,Arkansas,SEC,2023,12,33,33,100.0,20,24,83.3,93
Jai Patel*,Rutgers,Big Ten,2023,12,33,34,97.1,15,18,83.3,78
Bert Auburn*,Texas,Big 12,2023,14,56,56,100.0,29,35,82.9,143
Michael Hayes*,West Virginia,Big 12,2023,13,46,46,100.0,17,21,81.0,97
Trey Smack,Florida,SEC,2023,12,29,29,100.0,17,21,81.0,80
Chase Contreraz*,Iowa State,Big 12,2023,13,36,37,97.3,21,26,80.8,99
Harrison Mevis*,Missouri,SEC,2023,13,45,46,97.8,24,30,80.0,117
Jayden Fielding*,Ohio State,Big Ten,2023,13,49,50,98.0,16,20,80.0,97
Damian Ramos*,LSU,SEC,2023,13,77,77,100.0,12,15,80.0,113
Alex Hale*,Oklahoma State,Big 12,2023,13,36,38,94.7,27,34,79.4,117
Alex Felkins*,Penn State,Big Ten,2023,13,47,47,100.0,19,24,79.2,104
Carter Brown,Cincinnati,Big 12,2023,12,30,30,100.0,15,19,78.9,75
Nathanial Vakos*,Wisconsin,Big Ten,2023,13,34,34,100.0,15,19,78.9,79
Chris Tennant*,Kansas State,Big 12,2023,13,56,57,98.2,11,14,78.6,89
Liam Connor*,Boston College,ACC,2023,13,36,39,92.3,11,14,78.6,69
Seth Keller*,Kansas,Big 12,2023,13,47,49,95.9,11,14,78.6,80
Will Ferrin,Brigham Young,Big 12,2023,12,32,33,97.0,11,14,78.6,65
Brayden Narveson*,North Carolina State,ACC,2023,13,38,38,100.0,18,23,78.3,92
Caden Davis*,Ole Miss,SEC,2023,13,45,45,100.0,18,23,78.3,99
Charles Campbell*,Tennessee,SEC,2023,13,49,49,100.0,18,23,78.3,103
Todd Pelino*,Duke,ACC,2023,12,38,38,100.0,18,23,78.3,92
Randy Bond*,Texas A&M,SEC,2023,13,48,48,100.0,26,35,74.3,126
Caleb Griffin,Illinois,Big Ten,2023,12,24,26,92.3,14,19,73.7,66
Jack Olsen*,Northwestern,Big Ten,2023,13,33,33,100.0,14,19,73.7,75
Gino Garcia*,Texas Tech,Big 12,2023,13,40,40,100.0,16,22,72.7,88
Kyle Ferrie,Mississippi State,SEC,2023,12,27,27,100.0,16,22,72.7,75
Jonathan Kim,Michigan State,Big Ten,2023,12,17,17,100.0,13,18,72.2,56
Isaiah Hankins,Baylor,Big 12,2023,12,21,23,91.3,18,25,72.0,75
Zach Schmit*,Oklahoma,Big 12,2023,13,67,67,100.0,15,21,71.4,112
Chris Freeman,Indiana,Big Ten,2023,12,29,30,96.7,10,14,71.4,59
Brock Travelstead*,Louisville,ACC,2023,14,39,41,95.1,17,24,70.8,90
Jonathan Weitz*,Clemson,ACC,2023,10,29,29,100.0,14,20,70.0,71
Matthew Dennis,Wake Forest,ACC,2023,11,20,21,95.2,14,20,70.0,62
Drew Stevens*,Iowa,Big Ten,2023,14,19,20,95.0,18,26,69.2,73
Ben Sauls,Pitt,ACC,2023,12,28,28,100.0,11,16,68.8,61
Jack Howes*,Maryland,Big Ten,2023,13,46,47,97.9,13,19,68.4,85
Griffin Kell,TCU,Big 12,2023,12,44,46,95.7,14,21,66.7,86
Brady Denaburg*,Syracuse,ACC,2023,13,36,37,97.3,10,16,62.5,66
Colton Boomer*,UCF,Big 12,2023,13,48,50,96.0,13,21,61.9,87
Tristan Alvano,Nebraska,Big Ten,2023,12,27,27,100.0,9,15,60.0,54
Jack Martin,Houston,Big 12,2023,12,34,34,100.0,8,14,57.1,58
